step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
590,0.00258,1,0.03664,0.99213,,
591,0.02492,0.99281,,,,
592,0.04368,0.98594,,,,
593,0.01614,0.99259,,,,
594,0.00466,1,,,,
595,0.03444,0.98684,,,,
596,4.00E-05,1,,,,
597,1.00E-05,1,,,,
598,0.01551,0.99248,,,,
599,0.01966,0.99219,,,,
600,0.03722,0.98485,0.04324,0.98162,,
601,0.00953,1,,,,
602,0.01686,0.99259,,,,
603,0.03233,0.99206,,,,
604,0.01281,0.99248,,,,
605,0.02863,0.98305,,,,
606,0.05269,0.97872,,,,
607,0.01274,0.99471,,,,
608,0.01707,0.99454,,,,
609,0.02874,0.98496,,,,
610,1.00E-05,1,0.05085,0.9823,,
611,0.02169,0.9913,,,,
612,0.04153,0.976,,,,
613,0.02592,0.99053,,,,
614,0.0111,0.99648,,,,
615,0.0515,0.98413,,,,
616,0.02579,0.98734,,,,
617,0.01433,0.99336,,,,
618,0.03609,0.98374,,,,
619,0.01162,0.99213,,,,
620,0.00454,1,0.03726,0.98507,,
621,0.01725,0.99215,,,,
622,0.00059,1,,,,
623,7.00E-05,1,,,,
624,0.05962,0.98077,,,,
625,0.02662,0.99375,,,,
626,0.00079,1,,,,
627,0.01198,0.99329,,,,
628,0.0444,0.98606,,,,
629,0.0112,1,,,,
630,0.00946,1,0.04039,0.98765,,
631,0.03212,0.98684,,,,
632,0.02189,0.99497,,,,
633,0.0032,1,,,,
634,0.03055,0.99216,,,,
635,0.05147,0.98706,,,,
636,0.00868,0.99716,,,,
637,0.02798,0.99524,,,,
638,0.02398,0.98261,,,,
639,0.02477,0.98765,,,,
640,0.04803,0.98182,0.06859,0.97382,,
641,0.02649,0.99138,,,,
642,0.0416,0.97976,,,,
643,0.03711,0.98378,,,,
644,0.03151,0.99103,,,,
645,0.01771,0.99194,,,,
646,0.02679,0.98973,,,,
647,2.00E-05,1,,,,
648,0.06957,0.97735,,,,
649,0.0124,0.99668,,,,
650,0.00174,1,0.01681,0.99254,,
651,0.03575,0.97966,,,,
652,3.00E-05,1,,,,
653,0.04774,0.98262,,,,
654,0.0558,0.97386,,,,
655,0.04109,0.97956,,,,
656,0.00919,0.99145,,,,
657,0.00878,1,,,,
658,0.01916,0.99355,,,,
659,0.03122,0.9878,,,,
660,0.07451,0.97452,0.05685,0.97931,,
661,0.01622,0.99216,,,,
662,0.01386,0.99373,,,,
663,0.00803,1,,,,
664,0.01685,0.99331,,,,
665,0.01034,1,,,,
666,0.02471,0.99003,,,,
667,0.04989,0.97744,,,,
668,0.02333,0.9944,,,,
669,0.0014,1,,,,
670,0.01883,0.99572,0.04144,0.98374,,
671,0.01845,0.99204,,,,
672,0.03145,0.9898,,,,
673,0.0412,0.97778,,,,
674,0.01698,0.99391,,,,
675,0.01167,0.99206,,,,
676,0.00509,1,,,,
677,0.02096,0.99422,,,,
678,5.00E-05,1,,,,
679,0.00114,1,,,,
680,0.00088,1,0.03693,0.99296,,
681,0.03006,0.98714,,,,
682,0.00152,1,,,,
683,0.05175,0.98425,,,,
684,0.01376,0.99145,,,,
685,0.0165,0.99111,,,,
686,0.03853,0.98901,,,,
687,0.03901,0.97378,,,,
688,0.02186,0.99575,,,,
689,0.0183,0.99213,,,,
690,0.02047,0.99292,0.1496,0.96538,,
691,0.01961,0.99278,,,,
692,9.00E-05,1,,,,
693,0.00082,1,,,,
694,0.00591,1,,,,
695,0.03472,0.98655,,,,
696,0.05017,0.97917,,,,
697,0.01209,0.99213,,,,
698,0.02003,0.99487,,,,
699,0.04377,0.98182,,,,
700,0.02146,0.98885,0.0462,0.9845,,
701,0.02111,0.99408,,,,
702,0.0309,0.98857,,,,
703,0.04141,0.98718,,,,
704,0.01727,0.99475,,,,
705,0.1323,0.96947,,,,
706,3.00E-05,1,,,,
707,0.0058,1,,,,
708,0.02379,0.99232,,,,
709,0.06326,0.9871,,,,
710,0.0579,0.9916,0.03239,0.98913,,
711,0.04156,0.98153,,,,
712,0.00087,1,,,,
713,0.00911,0.99716,,,,
714,1.00E-05,1,,,,
715,0.03113,0.98473,,,,
716,0.0104,1,,,,
717,0.04262,0.99045,,,,
718,0.02278,0.98997,,,,
719,0.07961,0.97414,,,,
720,0.03446,0.98909,0.0485,0.9823,,
721,0.0555,0.98374,,,,
722,0.01822,0.98726,,,,
723,0.00403,1,,,,
724,0.0256,0.99188,,,,
725,0.01728,0.99225,,,,
726,0.01065,0.99624,,,,
727,0.04598,0.98052,,,,
728,0.02475,0.98913,,,,
729,0.03907,0.97872,,,,
730,0.02106,0.99254,1.00E-05,1,,
731,0.06943,0.97699,,,,
732,0.0383,0.99072,,,,
733,0.02627,0.99387,,,,
734,0.00047,1,,,,
735,5.00E-05,1,,,,
736,0.00118,1,,,,
737,0.00149,1,,,,
738,0.01419,0.9931,,,,
739,0.01524,0.99265,,,,
740,0.0417,0.98592,0.05305,0.99222,,
741,1.00E-05,1,,,,
742,0.0128,0.99315,,,,
743,0.00138,1,,,,
744,0.05273,0.98864,,,,
745,0.00145,1,,,,
746,0.01391,0.99415,,,,
747,0.02973,0.98433,,,,
748,3.00E-05,1,,,,
